"","vehiculo","antigüedad","edad.conductor","potencia","grave"
"1",33,5,46,75,"0"
"2",37,5,28,60,"0"
"3",32,5,65,110,"0"
"4",29,1,29,75,"0"
"5",9,6,23,75,"1"
"6",8,2,38,75,"1"
"7",2,10,48,130,"1"
"8",28,4,42,60,"0"
"9",18,8,42,70,"0"
"10",15,1,24,7,"1"
"11",6,1,24,75,"1"
"12",3,12,40,60,"1"
"14",35,1,38,60,"0"
"16",24,12,63,70,"0"
"20",36,4,42,60,"0"
"21",30,2,22,90,"0"
"23",16,10,23,130,"1"
"24",17,5,25,60,"0"
"25",40,5,65,110,"0"
"26",14,10,36,75,"1"
"27",21,2,33,60,"0"
"31",20,5,35,75,"0"
"32",7,10,23,130,"1"
